Time,Channel#,Timestamp,V_value,nV,V cell,WE_value,uA,WE current,I_value,f,Status,Status_value,Current_range_value,Current range,something1,something2,
1696318449.29669,0,Timestamp,0,n,V cell,-1600093,u,WE current,-74462872,f,Status,2,0,Current range,0,128,
1696318449.29769,0,Timestamp,3000000,n,V cell,-1600093,u,WE current,-70374888,f,Status,2,0,Current range,0,128,
1696318449.298773,0,Timestamp,6000000,n,V cell,-1600093,u,WE current,-69674888,f,Status,2,0,Current range,0,128,
1696318449.2997706,0,Timestamp,9000000,n,V cell,-1600093,u,WE current,-67098904,f,Status,2,0,Current range,0,128,
1696318449.3007681,0,Timestamp,12000000,n,V cell,-1600093,u,WE current,-64903712,f,Status,2,0,Current range,0,128,
1696318449.3017654,0,Timestamp,15000001,n,V cell,-1600093,u,WE current,-62977324,f,Status,2,0,Current range,0,128,
1696318449.30376,0,Timestamp,18000002,n,V cell,-1600093,u,WE current,-61280532,f,Status,2,0,Current range,0,128,
1696318449.3047578,0,Timestamp,21000002,n,V cell,-1600093,u,WE current,-59740540,f,Status,2,0,Current range,0,128,
1696318449.305755,0,Timestamp,24000002,n,V cell,-1600093,u,WE current,-58334944,f,Status,2,0,Current range,0,128,
1696318449.3067524,0,Timestamp,27000002,n,V cell,-1600093,u,WE current,-57024548,f,Status,8,0,Current range,0,128,
1696318449.30775,0,Timestamp,30000004,n,V cell,-1600093,u,WE current,-55758956,f,Status,8,0,Current range,0,128,
1696318449.308747,0,Timestamp,33000004,n,V cell,-1600093,u,WE current,-54538160,f,Status,8,0,Current range,0,128,
1696318449.3097441,0,Timestamp,36000004,n,V cell,-1600093,u,WE current,-53350964,f,Status,8,0,Current range,0,128,
1696318449.3107414,0,Timestamp,39000000,n,V cell,-1600093,u,WE current,-52158172,f,Status,8,0,Current range,0,128,
1696318449.3117392,0,Timestamp,42000000,n,V cell,-1600093,u,WE current,-50965376,f,Status,8,0,Current range,0,128,
1696318449.3133411,0,Timestamp,45000000,n,V cell,-1600093,u,WE current,-49766980,f,Status,8,0,Current range,0,128,
1696318449.314482,0,Timestamp,47999996,n,V cell,-1600093,u,WE current,-48568588,f,Status,0,0,Current range,0,128,
1696318449.3154802,0,Timestamp,50999996,n,V cell,-1600093,u,WE current,-47398192,f,Status,0,0,Current range,0,128,
1696318449.3164773,0,Timestamp,53999992,n,V cell,-1600093,u,WE current,-46233396,f,Status,0,0,Current range,0,128,
1696318449.3174744,0,Timestamp,56999992,n,V cell,-1600093,u,WE current,-45102200,f,Status,0,0,Current range,0,128,
1696318449.318472,0,Timestamp,59999992,n,V cell,-1600093,u,WE current,-44032608,f,Status,0,0,Current range,0,128,
1696318449.3194692,0,Timestamp,62999992,n,V cell,-1600093,u,WE current,-42996612,f,Status,0,0,Current range,0,128,
1696318449.3204668,0,Timestamp,65999992,n,V cell,-1600093,u,WE current,-42016616,f,Status,0,0,Current range,0,128,
1696318449.3214638,0,Timestamp,68999992,n,V cell,-1600093,u,WE current,-41092620,f,Status,0,0,Current range,0,128,
1696318449.3224611,0,Timestamp,71999992,n,V cell,-1600093,u,WE current,-40230224,f,Status,0,0,Current range,0,128,
1696318449.3234587,0,Timestamp,74999992,n,V cell,-1600093,u,WE current,-39390228,f,Status,0,0,Current range,0,128,
1696318449.3244557,0,Timestamp,77999984,n,V cell,-1600093,u,WE current,-38595028,f,Status,0,0,Current range,0,128,
1696318449.32645,0,Timestamp,80999984,n,V cell,-1600093,u,WE current,-37822232,f,Status,0,0,Current range,0,128,
1696318449.3274474,0,Timestamp,83999984,n,V cell,-1600093,u,WE current,-37105436,f,Status,0,0,Current range,0,128,
1696318449.3284445,0,Timestamp,86999984,n,V cell,-1600093,u,WE current,-36416640,f,Status,0,0,Current range,0,128,
1696318449.3294418,0,Timestamp,89999984,n,V cell,-1600093,u,WE current,-35772640,f,Status,0,0,Current range,0,128,
1696318449.3299615,0,Timestamp,92999976,n,V cell,-1600093,u,WE current,-35151044,f,Status,0,0,Current range,0,128,
1696318449.3310902,0,Timestamp,95999976,n,V cell,-1600093,u,WE current,-34557448,f,Status,0,0,Current range,0,128,
1696318449.3320878,0,Timestamp,98999976,n,V cell,-1600093,u,WE current,-33991852,f,Status,0,0,Current range,0,128,
1696318449.3330853,0,Timestamp,101999,u,V cell,-1600093,u,WE current,-33437452,f,Status,0,0,Current range,0,128,
1696318449.3340828,0,Timestamp,104999,u,V cell,-1600093,u,WE current,-32922256,f,Status,0,0,Current range,0,128,
1696318449.3350797,0,Timestamp,107999,u,V cell,-1600093,u,WE current,-32435058,f,Status,0,0,Current range,0,128,
1696318449.3360772,0,Timestamp,110999,u,V cell,-1600093,u,WE current,-31970260,f,Status,0,0,Current range,0,128,
1696318449.3370745,0,Timestamp,113999,u,V cell,-1600093,u,WE current,-31522260,f,Status,0,0,Current range,0,128,
1696318449.3380718,0,Timestamp,116999,u,V cell,-1600093,u,WE current,-31091064,f,Status,0,0,Current range,0,128,
1696318449.3390691,0,Timestamp,119999,u,V cell,-1600093,u,WE current,-30676664,f,Status,0,0,Current range,0,128,
1696318449.5068467,1,Timestamp,0, ,V cell,-1600093,u,WE current,-56839748,f,Status,8,0,Current range,0,128,
1696318449.5078437,1,Timestamp,3000000,n,V cell,-1600093,u,WE current,-52958968,f,Status,8,0,Current range,0,128,
1696318449.5088413,1,Timestamp,6000000,n,V cell,-1600093,u,WE current,-50982176,f,Status,8,0,Current range,0,128,
1696318449.5098383,1,Timestamp,9000000,n,V cell,-1600093,u,WE current,-43875808,f,Status,0,0,Current range,0,128,
1696318449.510836,1,Timestamp,12000000,n,V cell,-1600093,u,WE current,-37301436,f,Status,0,0,Current range,0,128,
1696318449.5118332,1,Timestamp,15000001,n,V cell,-1600093,u,WE current,-32625456,f,Status,0,0,Current range,0,128,
1696318449.5134668,1,Timestamp,18000002,n,V cell,-1600093,u,WE current,-29327070,f,Status,0,0,Current range,0,128,
